Menu Item ID,Merchant Name,Grubsy Partner ID,Food Category,Item,Regular,Medium,Large,Platter,Image,Description,Notes,SKU,Created At,Updated At,Available,LastToggledAt
GMI-00001,Le Damas,Grb-0001,Wraps,Lamb Doner,£4.99,,£6.99,,Image,does what it says on the tin mate.,,SKU-001,02/06/25,23/6/2025,Yes,
GMI-00002,Le Damas,Grb-0001,Wraps,Chicken Shawarma,£4.99,,£6.99,,Image,does what it says on the tin mate.,,SKU-002,02/06/25,23/6/2025,Yes,
GMI-00003,Le Damas,Grb-0001,Wraps,Lamb Shawarma,£6.99,,£8.99,,Image,does what it says on the tin mate.,,SKU-003,02/06/25,23/6/2025,Yes,
GMI-00004,Le Damas,Grb-0001,Wraps,Mixed Shawarma / Doner,£5.99,,£8.99,,Image,does what it says on the tin mate.,,SKU-004,02/06/25,23/6/2025,Yes,
GMI-00005,Le Damas,Grb-0001,Wraps,Chicken Shish,£6.49,,£8.49,,Image,does what it says on the tin mate.,,SKU-005,02/06/25,23/6/2025,Yes,
GMI-00006,Le Damas,Grb-0001,Wraps,Lamb Shish,£6.99,,£9.99,,Image,does what it says on the tin mate.,,SKU-006,02/06/25,23/6/2025,Yes,
GMI-00007,Le Damas,Grb-0001,Wraps,Kofta Shish,£6.99,,£9.99,,Image,does what it says on the tin mate.,,SKU-007,02/06/25,23/6/2025,Yes,
GMI-00008,Le Damas,Grb-0001,Wraps,Mixed Shish (2 Skewers),£6.99,,£9.99,,Image,does what it says on the tin mate.,,SKU-008,02/06/25,23/6/2025,Yes,
GMI-00009,Le Damas,Grb-0001,Wraps,Falafel (Ve),£4.49,,£6.99,,Image,does what it says on the tin mate.,,SKU-009,02/06/25,23/6/2025,Yes,
GMI-00010,Le Damas,Grb-0001,Wraps,Halloumi (V),£5.99,,£7.99,,Image,does what it says on the tin mate.,,SKU-010,02/06/25,23/6/2025,Yes,
GMI-00011,Le Damas,Grb-0001,Wraps,Faloumi (V),£6.49,,£8.49,,Image,does what it says on the tin mate.,,SKU-011,02/06/25,23/6/2025,Yes,
GMI-00012,Le Damas,Grb-0001,Platters,Lamb Doner,,,,£10.99,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-012,02/06/25,23/6/2025,Yes,
GMI-00013,Le Damas,Grb-0001,Platters,Chicken Shawarma,,,,£10.99,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-013,02/06/25,23/6/2025,Yes,
GMI-00014,Le Damas,Grb-0001,Platters,Lamb Shawarma,,,,£12.99,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-014,02/06/25,23/6/2025,Yes,
GMI-00015,Le Damas,Grb-0001,Platters,Mixed Shawarma / Doner,,,,£12.49,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-015,02/06/25,23/6/2025,Yes,
GMI-00016,Le Damas,Grb-0001,Platters,Chicken Shish,,,,£11.99,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-016,02/06/25,23/6/2025,Yes,
GMI-00017,Le Damas,Grb-0001,Platters,Lamb Shish,,,,£13.99,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-017,02/06/25,23/6/2025,Yes,
GMI-00018,Le Damas,Grb-0001,Platters,Kofta Shish,,,,£13.99,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-018,02/06/25,23/6/2025,Yes,
GMI-00019,Le Damas,Grb-0001,Platters,Mixed Shish (2 Skewers),,,,£13.99,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-019,02/06/25,23/6/2025,Yes,
GMI-00020,Le Damas,Grb-0001,Platters,Falafel (Ve),,,,£9.99,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-020,02/06/25,23/6/2025,Yes,
GMI-00021,Le Damas,Grb-0001,Platters,Halloumi (V),,,,£10.99,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-021,02/06/25,23/6/2025,Yes,
GMI-00022,Le Damas,Grb-0001,Platters,Faloumi (V),,,,£11.49,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-022,02/06/25,23/6/2025,Yes,
GMI-00023,Le Damas,Grb-0001,Le Damas Special,Le Damas Special,£10.99,,,,Image,does what it says on the tin mate.,"A toasted chicken shawarma served with a side of our signature garlic sauce, fresh tomatoes, pickles and chips.",SKU-023,02/06/25,23/6/2025,Yes,
GMI-00024,Le Damas,Grb-0001,Meat & Chips,Lamb Doner Meat & Chips,£6.99,,,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-024,02/06/25,23/6/2025,Yes,
GMI-00025,Le Damas,Grb-0001,Meat & Chips,Chicken Shawarma Meat & Chips,£6.99,,,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-025,02/06/25,23/6/2025,Yes,
GMI-00026,Le Damas,Grb-0001,Meat & Chips,Lamb Shawarma Meat & Chips,£8.99,,,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-026,02/06/25,23/6/2025,Yes,
GMI-00027,Le Damas,Grb-0001,Meat & Chips,Mixed Doner/Shawarma Meat & Chips,£8.49,,,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-027,02/06/25,23/6/2025,Yes,
GMI-00028,Le Damas,Grb-0001,Grill & Rotisserie,Half Chicken,£5.49,,£9.49,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-028,02/06/25,23/6/2025,Yes,
GMI-00029,Le Damas,Grb-0001,Grill & Rotisserie,Whole Chicken,£7.99,,£12.99,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-029,02/06/25,23/6/2025,Yes,
GMI-00030,Le Damas,Grb-0001,Grill & Rotisserie,Lamb Chops x3,£7.99,,£11.99,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-030,02/06/25,23/6/2025,Yes,
GMI-00031,Le Damas,Grb-0001,Grill & Rotisserie,Chicken Wings x4,£5.99,,£9.99,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-031,02/06/25,23/6/2025,Yes,
GMI-00032,Le Damas,Grb-0001,Grill & Rotisserie,Sea Bass,£7.99,,£11.99,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-032,02/06/25,23/6/2025,Yes,
GMI-00033,Le Damas,Grb-0001,Grill & Rotisserie,King Prawns,£9.99,,£12.99,,Image,does what it says on the tin mate.,"All platters are served with sauce, salad, mezze dip, bread, and a choice of regular side.",SKU-033,02/06/25,23/6/2025,Yes,
GMI-00034,Le Damas,Grb-0001,Mixed Grills (1 Person),Mixed Grill,,,,£13.99,Image,"2 x Choice of Skewers, 1 x Lamb Chop, 1 x Chicken Wings, 1 x Mixed Veg Skewer, 1 x Regular Side, 1 x Meze Dip, 1 x Salad",,SKU-034,02/06/25,23/6/2025,Yes,
GMI-00035,Le Damas,Grb-0001,Mixed Grills (2 People),Mixed Grill,,,,£26.99,Image,"4 x Choice of Skewers, 2 x Lamb Chops, 2 x Chicken Wings, 2 x Mixed Veg Skewer, 2 x Regular Sides, 2 x Meze Dip, 1 x Large Salad",,SKU-035,02/06/25,23/6/2025,Yes,
GMI-00036,Le Damas,Grb-0001,Mixed Grills (4 People),Mixed Grill,,,,£69.99,Image,"8 x Choice of Skewers, 4 x Lamb Chops, 4 x Chicken Wings, 3 x Mixed Veg Skewer, 4 x Regular Sides, 3 x Meze Dip, 1 x Large Salad",,SKU-036,02/06/25,23/6/2025,Yes,
GMI-00037,Le Damas,Grb-0001,Lunchtime Special,Lunchtime Special,£5.99,,,,Image,does what it says on the tin mate.,"11AM-3PM - Choose one from each option: Option 1: Lamb Doner, Chicken Shawarma, Chicken Wings, Faloumi Option 2: Houmous, Chilli Houmous, Baba Ghanouj, Jujeck Option 3: Chips, Aromatic Rice, Vegetable Rice, Burghul Option 4: Salad, Batata Harra, Mixed Pickles, Bread",SKU-037,02/06/25,23/6/2025,Yes,
GMI-00038,Le Damas,Grb-0001,Family Meal Deal,Family Meal Deal,£49.99,,,,Image,does what it says on the tin mate.,"Includes: Whole Chicken, Half Kg of Mixed Shawarma, Choice of 4x Skewers, 8x Chicken Wings, Choice of 4x Sides, 8x Falafel, Salad, Houmous, Bread & Sauces, Large Bottle of Drink",SKU-038,02/06/25,23/6/2025,Yes,
GMI-00039,Le Damas,Grb-0001,Mezze,Houmous (Ve),£3.99,,,,Image,does what it says on the tin mate.,,SKU-039,02/06/25,23/6/2025,Yes,
GMI-00040,Le Damas,Grb-0001,Mezze,Chilli Houmous (Ve),£4.49,,,,Image,does what it says on the tin mate.,,SKU-040,02/06/25,23/6/2025,Yes,
GMI-00041,Le Damas,Grb-0001,Mezze,Baba Ghanouj (Ve),£4.99,,,,Image,does what it says on the tin mate.,,SKU-041,02/06/25,23/6/2025,Yes,
GMI-00042,Le Damas,Grb-0001,Mezze,Jujeck (V),£4.99,,,,Image,does what it says on the tin mate.,,SKU-042,02/06/25,23/6/2025,Yes,
GMI-00043,Le Damas,Grb-0001,Mezze,Falafel (Ve),£3.99,,,,Image,does what it says on the tin mate.,,SKU-043,02/06/25,23/6/2025,Yes,
GMI-00044,Le Damas,Grb-0001,Mezze,Halloumi (V),£5.99,,,,Image,does what it says on the tin mate.,,SKU-044,02/06/25,23/6/2025,Yes,
GMI-00045,Le Damas,Grb-0001,Mezze,Batata Harra (Ve),£3.49,,,,Image,does what it says on the tin mate.,,SKU-045,02/06/25,23/6/2025,Yes,
GMI-00046,Le Damas,Grb-0001,Mezze,Onion Rings (V),£3.49,,,,Image,does what it says on the tin mate.,,SKU-046,02/06/25,23/6/2025,Yes,
GMI-00047,Le Damas,Grb-0001,Mezze,Lentil Soup (Ve),£3.49,,,,Image,does what it says on the tin mate.,,SKU-047,02/06/25,23/6/2025,Yes,
GMI-00048,Le Damas,Grb-0001,Gourmet Burgers,6oz Beef,£6.49,,£8.49,,Image,does what it says on the tin mate.,Add regular chips for £2 only.,SKU-048,02/06/25,23/6/2025,Yes,
GMI-00049,Le Damas,Grb-0001,Gourmet Burgers,6oz Lamb,£7.49,,£9.49,,Image,does what it says on the tin mate.,Add regular chips for £2 only.,SKU-049,02/06/25,23/6/2025,Yes,
GMI-00050,Le Damas,Grb-0001,Gourmet Burgers,Chicken Fillet,£6.49,,£8.49,,Image,does what it says on the tin mate.,Add regular chips for £2 only.,SKU-050,02/06/25,23/6/2025,Yes,
GMI-00051,Le Damas,Grb-0001,Gourmet Burgers,Veggie,£4.49,,£6.49,,Image,does what it says on the tin mate.,Add regular chips for £2 only.,SKU-051,02/06/25,23/6/2025,Yes,
GMI-00052,Le Damas,Grb-0001,Sides,Chips,£2.29,,£3.29,,Image,does what it says on the tin mate.,,SKU-052,02/06/25,23/6/2025,Yes,
GMI-00053,Le Damas,Grb-0001,Sides,House Chips,£2.99,,£3.99,,Image,does what it says on the tin mate.,,SKU-053,02/06/25,23/6/2025,Yes,
GMI-00054,Le Damas,Grb-0001,Sides,Cheesy Chips,£3.49,,£4.49,,Image,does what it says on the tin mate.,,SKU-054,02/06/25,23/6/2025,Yes,
GMI-00055,Le Damas,Grb-0001,Sides,Aromatic Rice,£3.29,,£4.29,,Image,does what it says on the tin mate.,,SKU-055,02/06/25,23/6/2025,Yes,
GMI-00056,Le Damas,Grb-0001,Sides,Vegetable Rice,£3.49,,£4.49,,Image,does what it says on the tin mate.,,SKU-056,02/06/25,23/6/2025,Yes,
GMI-00057,Le Damas,Grb-0001,Sides,Burghul,£3.49,,£4.49,,Image,does what it says on the tin mate.,,SKU-057,02/06/25,23/6/2025,Yes,
GMI-00058,Le Damas,Grb-0001,Extras,Just Falafel x6,£2.99,,,,Image,does what it says on the tin mate.,,SKU-058,02/06/25,23/6/2025,Yes,
GMI-00059,Le Damas,Grb-0001,Extras,Mixed Salad,£3.49,,,,Image,does what it says on the tin mate.,,SKU-059,02/06/25,23/6/2025,Yes,
GMI-00060,Le Damas,Grb-0001,Extras,Mixed Pickles,£2.99,,,,Image,does what it says on the tin mate.,,SKU-060,02/06/25,23/6/2025,Yes,
GMI-00061,Le Damas,Grb-0001,Extras,Bread,£0.99,,,,Image,does what it says on the tin mate.,,SKU-061,02/06/25,23/6/2025,Yes,
GMI-00062,Le Damas,Grb-0001,Extras,Sauce Tub,£1.89,,,,Image,does what it says on the tin mate.,,SKU-062,02/06/25,23/6/2025,Yes,
GMI-00063,Le Damas,Grb-0001,Extras,Sauce Dip,£0.49,,,,Image,does what it says on the tin mate.,,SKU-063,02/06/25,23/6/2025,Yes,
GMI-00064,Le Damas,Grb-0001,Kids Meals,Chicken Nuggets & Chips,£4.99,,,,Image,does what it says on the tin mate.,All kids meals include a free kids drink.,SKU-064,02/06/25,23/6/2025,Yes,
GMI-00065,Le Damas,Grb-0001,Kids Meals,Chicken Steak Burger & Chips,£4.99,,,,Image,does what it says on the tin mate.,All kids meals include a free kids drink.,SKU-065,02/06/25,23/6/2025,Yes,
GMI-00066,Le Damas,Grb-0001,Kids Meals,Cheeseburger & Chips,£4.99,,,,Image,does what it says on the tin mate.,All kids meals include a free kids drink.,SKU-066,02/06/25,23/6/2025,Yes,
GMI-00067,Le Damas,Grb-0001,Kids Meals,Mini Shawarma & Chips,£4.99,,,,Image,does what it says on the tin mate.,All kids meals include a free kids drink.,SKU-067,02/06/25,23/6/2025,Yes,
